et,c,lat,long,fat
Battle-No change of territory,Democratic Republic of the Congo,-2.1,28.9167,7
Battle-No change of territory,Democratic Republic of the Congo,-3.4,29.133333,4
Battle-No change of territory,Democratic Republic of the Congo,2.1833,27.9333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.1841,29.4488,0
Battle-No change of territory,Democratic Republic of the Congo,1.559406,30.252237,18
Battle-No change of territory,Democratic Republic of the Congo,-1.1841,29.4488,0
Battle-No change of territory,Democratic Republic of the Congo,-0.778811,29.090302,0
Battle-No change of territory,Democratic Republic of the Congo,-1.433333,28.733333,0
Battle-No change of territory,Democratic Republic of the Congo,-0.166667,29.233333,0
Battle-No change of territory,Democratic Republic of the Congo,-0.615924,29.113571,0
Battle-No change of territory,Democratic Republic of the Congo,-0.615924,29.113571,0
Battle-No change of territory,Democratic Republic of the Congo,-1.433333,28.733333,0
Battle-No change of territory,Democratic Republic of the Congo,-0.166667,29.233333,0
Battle-No change of territory,Democratic Republic of the Congo,-4.3011,28.9441,12
Battle-No change of territory,Democratic Republic of the Congo,-0.778811,29.090302,0
Battle-No change of territory,Democratic Republic of the Congo,-1.398889,28.813333,0
Battle-No change of territory,Democratic Republic of the Congo,1.85,29.9667,10
Battle-No change of territory,Democratic Republic of the Congo,-2.1,28.916667,0
Battle-No change of territory,Democratic Republic of the Congo,-1.398889,28.813333,0
Battle-No change of territory,Democratic Republic of the Congo,0.15,29.2833,3
Battle-No change of territory,Democratic Republic of the Congo,-7.3,27.416667,7
Battle-No change of territory,Democratic Republic of the Congo,-1.679167,29.222778,5
Battle-No change of territory,Democratic Republic of the Congo,-0.166667,29.233333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.7075,29.018056,2
Battle-No change of territory,Democratic Republic of the Congo,-0.737577,29.624232,0
Battle-No change of territory,Democratic Republic of the Congo,-2.330278,28.790833,0
Battle-No change of territory,Democratic Republic of the Congo,-2.330278,28.790833,0
Battle-No change of territory,Democratic Republic of the Congo,-3.4,29.133333,0
Battle-No change of territory,Democratic Republic of the Congo,-0.60179,27.985033,4
Battle-No change of territory,Democratic Republic of the Congo,-1.1841,29.4488,13
Battle-No change of territory,Democratic Republic of the Congo,-2.628333,28.665833,4
Battle-No change of territory,Democratic Republic of the Congo,-1.398889,28.813333,0
Battle-No change of territory,Democratic Republic of the Congo,-0.737577,29.624232,0
Battle-No change of territory,Democratic Republic of the Congo,-2.333333,27.6,0
Battle-No change of territory,Democratic Republic of the Congo,-1.416667,28.074017,0
Battle-No change of territory,Democratic Republic of the Congo,-1.206667,28.743611,0
Battle-No change of territory,Democratic Republic of the Congo,-1.483333,29.066667,0
Battle-No change of territory,Democratic Republic of the Congo,-1.266667,29.383333,0
Battle-No change of territory,Democratic Republic of the Congo,-0.367511,29.572971,2
Battle-No change of territory,Democratic Republic of the Congo,-1.398889,28.813333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.398889,28.813333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.266667,29.383333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.398889,28.813333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.398889,28.813333,0
Battle-No change of territory,Democratic Republic of the Congo,-2.7,27.3333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.266667,29.383333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.398889,28.813333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.398889,28.813333,0
Battle-No change of territory,Democratic Republic of the Congo,-1.266667,29.383333,0
