OBJECTID,ISO,flood.freq.mean,drought.freq.mean
1503,DZA,7,9
1504,DZA,4,0
1505,DZA,8,7
1506,DZA,2.846153846,2.076923077
1507,DZA,8,0
1508,DZA,1,9
1509,DZA,8,8
1510,DZA,7,9
1511,DZA,4,0
1512,DZA,7,9
1513,DZA,8,8
1514,DZA,4,0
1515,DZA,1,9
1516,DZA,5.285714286,9
1517,DZA,4,0
1518,DZA,2.2,9
1519,DZA,7,9
1520,DZA,1,9
1521,DZA,7,9
1522,DZA,1,9
1523,DZA,7,9
1524,DZA,7,9
1525,DZA,4,9
1526,DZA,7,9
1527,DZA,1,9
1528,DZA,7,9
1529,DZA,7,9
1530,DZA,1,9
1531,DZA,6.666666667,0
1532,DZA,4,9
1533,DZA,7.727272727,8
1534,DZA,7,8
1535,DZA,1,9
1536,DZA,8,0
1537,DZA,7,9
1538,DZA,7,9
1539,DZA,4,0
1540,DZA,4,0
1541,DZA,6.7,9
1542,DZA,4,9
1543,DZA,7,9
1544,DZA,4,8.1
1545,DZA,4,9
1546,DZA,7,9
1547,DZA,7,9
1548,DZA,8,7.2
1549,DZA,8,8
1550,DZA,1,9
1551,DZA,8,1.142857143
1552,DZA,7,9
1553,DZA,4,9
1554,DZA,4,0
1555,DZA,1,9
1556,DZA,7,9
1557,DZA,7,9
1558,DZA,7,9
1559,DZA,1,9
1560,DZA,7,9
1561,DZA,4,9
1562,DZA,7,9
1563,DZA,6.5,0
1564,DZA,4,0
1565,DZA,1,9
1566,DZA,4,9
1567,DZA,7,9
1568,DZA,7,9
1569,DZA,8,0
1570,DZA,7.125,8
1571,DZA,4,9
1572,DZA,7,8
1573,DZA,4,9
1574,DZA,7,9
1575,DZA,8,8
1576,DZA,2.5,3
1577,DZA,8,0.888888889
1578,DZA,4,9
1579,DZA,4,0
1580,DZA,4,9
1581,DZA,7,9
1582,DZA,4.363636364,0
1583,DZA,8,0
1584,DZA,8,0
1585,DZA,4,9
1586,DZA,7,9
1587,DZA,4,0
1588,DZA,7,9
1589,DZA,7,9
1590,DZA,4,9
1591,DZA,1.6,9
1592,DZA,7,9
1593,DZA,4,9
1594,DZA,7.666666667,8
1595,DZA,4,0
1596,DZA,4,9
1597,DZA,4,9
1598,DZA,8,0
1599,DZA,8,0
1600,DZA,7,9
1601,DZA,7,9
1602,DZA,5.5,9
1603,DZA,7.733333333,0
1604,DZA,7,9
1605,DZA,6.2,9
1606,DZA,7.875,0
1607,DZA,4,9
1608,DZA,3.538461538,9
1609,DZA,6.7,9
1610,DZA,7.533333333,0
1611,DZA,1,9
1612,DZA,2.8,9
1613,DZA,4,9
1614,DZA,7.3125,8
1615,DZA,6.142857143,0
1616,DZA,5.5,9
1617,DZA,3,9
1618,DZA,7.3,5
1619,DZA,4,9
1620,DZA,7.363636364,0
1621,DZA,3.142857143,9
1622,DZA,7.294117647,0
1623,DZA,5.8,9
1624,DZA,3.8,9
1625,DZA,5.909090909,0
1626,DZA,1,9
1627,DZA,5.5,9
1628,DZA,1,9
1629,DZA,4.375,9
1630,DZA,1,9
1631,DZA,4,9
1632,DZA,1,10
1633,DZA,1,10
1634,DZA,4,9
1635,DZA,1,10
1636,DZA,0,0
1637,DZA,0,0
1638,DZA,0,0
1639,DZA,7,0
1640,DZA,1,9
1641,DZA,4,9
1642,DZA,4,9
1643,DZA,7,0
1644,DZA,4,9
1645,DZA,4,9
1646,DZA,1,9
1647,DZA,1,9
1648,DZA,7,0
1649,DZA,4,9
1650,DZA,1,9
1651,DZA,7,8
1652,DZA,3.4,9
1653,DZA,7,0
1654,DZA,7,0
1655,DZA,4,9
1656,DZA,7,0
1657,DZA,1,9
1658,DZA,4,9
1659,DZA,4,9
1660,DZA,1,9
1661,DZA,7,0
1662,DZA,7,0
1663,DZA,7,0
1664,DZA,4,9
1665,DZA,4,9
1666,DZA,1,9
1667,DZA,7,0
1668,DZA,4,9
1669,DZA,1,9
1670,DZA,7,8
1671,DZA,4,9
1672,DZA,1,9
1673,DZA,6.348837209,0
1674,DZA,4,9
1675,DZA,1,9
1676,DZA,4,9
1677,DZA,7,0
1678,DZA,1,9
1679,DZA,3.4,9
1680,DZA,7,0
1681,DZA,1,9
1682,DZA,7,0
1683,DZA,1,8.333333333
1684,DZA,2.5,9.5
1685,DZA,7,0
1686,DZA,1,10
1687,DZA,7,0
1688,DZA,4,4.5
1689,DZA,4,9
1690,DZA,4,9
1691,DZA,1,9
1692,DZA,4,9
1693,DZA,1,9
1694,DZA,1,9
1695,DZA,1,9
1696,DZA,4,9
1697,DZA,7,0
1698,DZA,4,9
1699,DZA,4,9
1700,DZA,4,9
1701,DZA,7,0
1702,DZA,1,10
1703,DZA,4,9
1704,DZA,4,9
1705,DZA,1,9
