OBJECTID,ISO,NAME,BATTLES,SUMfat,MEANfat
1344,DZA,Algeria,0,0,0
1345,DZA,Algeria,0,0,0
1346,DZA,Algeria,0,0,0
1347,DZA,Algeria,1,3,3
1348,DZA,Algeria,0,0,0
1349,DZA,Algeria,0,0,0
1350,DZA,Algeria,0,0,0
1351,DZA,Algeria,0,0,0
1352,DZA,Algeria,0,0,0
1353,DZA,Algeria,0,0,0
1354,DZA,Algeria,0,0,0
1355,DZA,Algeria,0,0,0
1356,DZA,Algeria,0,0,0
1357,DZA,Algeria,0,0,0
1358,DZA,Algeria,0,0,0
1359,DZA,Algeria,0,0,0
1360,DZA,Algeria,0,0,0
1361,DZA,Algeria,0,0,0
1362,DZA,Algeria,0,0,0
1363,DZA,Algeria,0,0,0
1364,DZA,Algeria,0,0,0
1365,DZA,Algeria,0,0,0
1366,DZA,Algeria,1,1,1
1367,DZA,Algeria,0,0,0
1368,DZA,Algeria,0,0,0
1369,DZA,Algeria,0,0,0
1370,DZA,Algeria,0,0,0
1371,DZA,Algeria,0,0,0
1372,DZA,Algeria,0,0,0
1373,DZA,Algeria,0,0,0
1374,DZA,Algeria,0,0,0
1375,DZA,Algeria,0,0,0
1376,DZA,Algeria,0,0,0
1377,DZA,Algeria,0,0,0
1378,DZA,Algeria,0,0,0
1379,DZA,Algeria,0,0,0
1380,DZA,Algeria,0,0,0
1381,DZA,Algeria,0,0,0
1382,DZA,Algeria,0,0,0
1383,DZA,Algeria,0,0,0
1384,DZA,Algeria,1,0,0
1385,DZA,Algeria,0,0,0
1386,DZA,Algeria,0,0,0
1387,DZA,Algeria,1,2,2
1388,DZA,Algeria,0,0,0
1389,DZA,Algeria,0,0,0
1390,DZA,Algeria,0,0,0
1391,DZA,Algeria,0,0,0
1392,DZA,Algeria,0,0,0
1393,DZA,Algeria,0,0,0
1394,DZA,Algeria,0,0,0
1395,DZA,Algeria,1,3,3
1396,DZA,Algeria,0,0,0
1397,DZA,Algeria,0,0,0
1398,DZA,Algeria,0,0,0
1399,DZA,Algeria,0,0,0
1400,DZA,Algeria,0,0,0
